"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Tipus_Vehicles","Antiguitat","Nombre"
2020,1,"Ciutat Vella",1,"el Raval",1,"Turismes","Menys d'un any d'antiguitat",11
2020,1,"Ciutat Vella",1,"el Raval",1,"Turismes","1 any",23
2020,1,"Ciutat Vella",1,"el Raval",1,"Turismes","2 anys",11
2020,1,"Ciutat Vella",1,"el Raval",1,"Turismes","3 anys",18
2020,1,"Ciutat Vella",1,"el Raval",1,"Turismes","4 anys",17
2020,1,"Ciutat Vella",1,"el Raval",1,"Turismes","5 anys",19
2020,1,"Ciutat Vella",1,"el Raval",1,"Turismes","6 anys",10
2020,1,"Ciutat Vella",1,"el Raval",1,"Turismes","7 anys",8
2020,1,"Ciutat Vella",1,"el Raval",1,"Turismes","8 anys",6
2020,1,"Ciutat Vella",1,"el Raval",1,"Turismes","9 anys",12
2020,1,"Ciutat Vella",1,"el Raval",1,"Turismes","10 anys",15
2020,1,"Ciutat Vella",1,"el Raval",1,"Turismes","D'11 a 20 anys",132
2020,1,"Ciutat Vella",1,"el Raval",1,"Turismes","Més de 20 anys",70
2020,1,"Ciutat Vella",1,"el Raval",1,"Motos","Menys d'un any d'antiguitat",6
2020,1,"Ciutat Vella",1,"el Raval",1,"Motos","1 any",11
2020,1,"Ciutat Vella",1,"el Raval",1,"Motos","2 anys",4
2020,1,"Ciutat Vella",1,"el Raval",1,"Motos","3 anys",5
2020,1,"Ciutat Vella",1,"el Raval",1,"Motos","4 anys",7
2020,1,"Ciutat Vella",1,"el Raval",1,"Motos","5 anys",7
2020,1,"Ciutat Vella",1,"el Raval",1,"Motos","6 anys",7
2020,1,"Ciutat Vella",1,"el Raval",1,"Motos","7 anys",3
2020,1,"Ciutat Vella",1,"el Raval",1,"Motos","8 anys",4
2020,1,"Ciutat Vella",1,"el Raval",1,"Motos","9 anys",2
2020,1,"Ciutat Vella",1,"el Raval",1,"Motos","10 anys",11
2020,1,"Ciutat Vella",1,"el Raval",1,"Motos","D'11 a 20 anys",46
2020,1,"Ciutat Vella",1,"el Raval",1,"Motos","Més de 20 anys",13
2020,1,"Ciutat Vella",1,"el Raval",1,"Ciclomotors","Menys d'un any d'antiguitat",652
2020,1,"Ciutat Vella",1,"el Raval",1,"Ciclomotors","3 anys",1
2020,1,"Ciutat Vella",1,"el Raval",1,"Ciclomotors","5 anys",1
2020,1,"Ciutat Vella",1,"el Raval",1,"Ciclomotors","8 anys",1
2020,1,"Ciutat Vella",1,"el Raval",1,"Ciclomotors","10 anys",1
2020,1,"Ciutat Vella",1,"el Raval",1,"Ciclomotors","D'11 a 20 anys",27
2020,1,"Ciutat Vella",1,"el Raval",1,"Ciclomotors","Més de 20 anys",3
2020,1,"Ciutat Vella",1,"el Raval",1,"Furgonetes","Menys d'un any d'antiguitat",1
2020,1,"Ciutat Vella",1,"el Raval",1,"Furgonetes","1 any",1
2020,1,"Ciutat Vella",1,"el Raval",1,"Furgonetes","2 anys",1
2020,1,"Ciutat Vella",1,"el Raval",1,"Furgonetes","3 anys",1
2020,1,"Ciutat Vella",1,"el Raval",1,"Furgonetes","4 anys",3
2020,1,"Ciutat Vella",1,"el Raval",1,"Furgonetes","5 anys",2
2020,1,"Ciutat Vella",1,"el Raval",1,"Furgonetes","6 anys",8
2020,1,"Ciutat Vella",1,"el Raval",1,"Furgonetes","7 anys",1
2020,1,"Ciutat Vella",1,"el Raval",1,"Furgonetes","8 anys",2
2020,1,"Ciutat Vella",1,"el Raval",1,"Furgonetes","9 anys",1
2020,1,"Ciutat Vella",1,"el Raval",1,"Furgonetes","D'11 a 20 anys",24
2020,1,"Ciutat Vella",1,"el Raval",1,"Furgonetes","Més de 20 anys",4
2020,1,"Ciutat Vella",1,"el Raval",1,"Camions","3 anys",1
2020,1,"Ciutat Vella",1,"el Raval",1,"Camions","8 anys",3
2020,1,"Ciutat Vella",1,"el Raval",1,"Camions","9 anys",3
2020,1,"Ciutat Vella",1,"el Raval",1,"Camions","10 anys",1
2020,1,"Ciutat Vella",1,"el Raval",1,"Camions","D'11 a 20 anys",14
2020,1,"Ciutat Vella",1,"el Raval",1,"Camions","Més de 20 anys",4
2020,1,"Ciutat Vella",1,"el Raval",1,"Altres vehicles","Menys d'un any d'antiguitat",2
2020,1,"Ciutat Vella",1,"el Raval",1,"Altres vehicles","1 any",8
2020,1,"Ciutat Vella",1,"el Raval",1,"Altres vehicles","2 anys",3
2020,1,"Ciutat Vella",1,"el Raval",1,"Altres vehicles","3 anys",4
2020,1,"Ciutat Vella",1,"el Raval",1,"Altres vehicles","4 anys",2
2020,1,"Ciutat Vella",1,"el Raval",1,"Altres vehicles","6 anys",1
